Time,Value,Aggregate
11:16:16.202000,35.421875,35.40625
11:16:17.192000,35.4140625,35.421875
11:16:18.197000,35.359375,35.4140625
11:16:19.187000,35.359375,35.359375
11:16:20.192000,35.3671875,35.359375
11:16:21.197000,35.359375,35.3671875
11:16:22.188000,35.3515625,35.359375
11:16:23.192000,35.328125,35.3515625
11:16:24.197000,35.3359375,35.328125
11:16:25.188000,35.328125,35.3359375
11:16:26.193000,35.3203125,35.328125
11:16:27.199000,35.296875,35.3203125
11:16:28.190000,35.2578125,35.296875
11:16:29.195000,35.21875,35.2578125
11:16:30.199000,35.1953125,35.21875
11:16:31.189000,35.1953125,35.1953125
11:16:32.192000,35.1953125,35.1953125
11:16:33.198000,35.203125,35.1953125
11:16:34.187000,35.21875,35.203125
11:16:35.193000,35.2265625,35.21875
11:16:36.199000,35.2421875,35.2265625
11:16:37.187000,35.2734375,35.2421875
11:16:38.193000,35.2890625,35.2734375
11:16:39.198000,35.296875,35.2890625
11:16:40.188000,35.3203125,35.296875
11:16:41.194000,35.3203125,35.3203125
11:16:42.200000,35.328125,35.3203125
11:16:43.190000,35.3359375,35.328125
11:16:44.193000,35.3359375,35.3359375
11:16:45.198000,35.359375,35.3359375
11:16:46.190000,35.359375,35.359375
11:16:47.193000,35.359375,35.359375
11:16:48.199000,35.3515625,35.359375
11:16:49.190000,35.3671875,35.3515625
11:16:50.195000,35.359375,35.3671875
11:16:51.200000,35.3515625,35.359375
11:16:52.190000,35.34375,35.3515625
11:16:53.196000,35.3359375,35.34375
11:16:54.200000,35.3359375,35.3359375
11:16:55.188000,35.328125,35.3359375
11:16:56.195000,35.34375,35.328125
11:16:57.199000,35.359375,35.34375
11:16:58.203000,35.359375,35.359375
11:16:59.193000,35.359375,35.359375
11:17:00.199000,35.359375,35.359375
11:17:01.189000,35.375,35.359375
11:17:02.195000,35.3828125,35.375
11:17:03.198000,35.390625,35.3828125
11:17:04.190000,35.3828125,35.390625
11:17:05.195000,35.375,35.3828125
11:17:06.200000,35.375,35.375
11:17:07.191000,35.3671875,35.375
11:17:08.195000,35.3515625,35.3671875
11:17:09.200000,35.3359375,35.3515625
11:17:10.190000,35.3359375,35.3359375
11:17:11.196000,35.3515625,35.3359375
11:17:12.200000,35.34375,35.3515625
11:17:13.190000,35.3046875,35.34375
11:17:14.195000,35.28125,35.3046875
11:17:15.200000,35.28125,35.28125
11:17:16.191000,35.25,35.28125
11:17:17.195000,35.2734375,35.25
11:17:18.201000,35.2734375,35.2734375
11:17:19.190000,35.2734375,35.2734375
11:17:20.208000,35.296875,35.2734375
11:17:21.199000,35.296875,35.296875
11:17:22.190000,35.3046875,35.296875
11:17:23.194000,35.3046875,35.3046875
11:17:24.199000,35.3203125,35.3046875
11:17:25.191000,35.3203125,35.3203125
11:17:26.194000,35.328125,35.3203125
11:17:27.200000,35.3203125,35.328125
11:17:28.189000,35.3203125,35.3203125
11:17:29.193000,35.328125,35.3203125
11:17:30.200000,35.3203125,35.328125
11:17:31.191000,35.3046875,35.3203125
11:17:32.196000,35.28125,35.3046875
11:17:33.199000,35.2734375,35.28125
11:17:34.189000,35.265625,35.2734375
11:17:35.194000,35.265625,35.265625
11:17:36.201000,35.2578125,35.265625
11:17:37.189000,35.25,35.2578125
11:17:38.194000,35.25,35.25
11:17:39.199000,35.234375,35.25
11:17:40.189000,35.234375,35.234375
11:17:41.194000,35.234375,35.234375
11:17:42.199000,35.234375,35.234375
11:17:43.189000,35.234375,35.234375
11:17:44.194000,35.2421875,35.234375
11:17:45.199000,35.25,35.2421875
11:17:46.189000,35.25,35.25
11:17:47.194000,35.2578125,35.25
11:17:48.201000,35.265625,35.2578125
11:17:49.191000,35.28125,35.265625
11:17:50.196000,35.2890625,35.28125
11:17:51.201000,35.296875,35.2890625
11:17:52.191000,35.3046875,35.296875
11:17:53.196000,35.3125,35.3046875
11:17:54.201000,35.3125,35.3125
11:17:55.191000,35.3203125,35.3125
11:17:56.196000,35.3203125,35.3203125
11:17:57.201000,35.3203125,35.3203125
11:17:58.189000,35.3125,35.3203125
11:17:59.194000,35.3203125,35.3125
11:18:00.200000,35.328125,35.3203125
11:18:01.190000,35.3359375,35.328125
11:18:02.195000,35.34375,35.3359375
11:18:03.199000,35.3515625,35.34375
11:18:04.190000,35.3515625,35.3515625
11:18:05.196000,35.359375,35.3515625
11:18:06.200000,35.3515625,35.359375
11:18:07.190000,35.3125,35.3515625
11:18:08.195000,35.3125,35.3125
11:18:09.200000,35.3203125,35.3125
11:18:10.190000,35.3203125,35.3203125
11:18:11.195000,35.3203125,35.3203125
11:18:12.200000,35.3359375,35.3203125
11:18:13.190000,35.328125,35.3359375
11:18:14.195000,35.328125,35.328125
11:18:15.201000,35.328125,35.328125
11:18:16.190000,35.3046875,35.328125
11:18:17.196000,35.3046875,35.3046875
11:18:18.201000,35.3046875,35.3046875
11:18:19.191000,35.3203125,35.3046875
11:18:20.196000,35.3203125,35.3203125
11:18:21.201000,35.3203125,35.3203125
11:18:22.191000,35.34375,35.3203125
